School Name,School Type,Address,City,Zipcode,County,Polio,DTaP,MMR,HepB,Varicella,HepA,All,Ex_Rel,Ex_Med,Ex_Tot
The Unquowa School,Non-public,981 Stratfield Rd,Fairfield,06825,Fairfield,,,,,,,,,,
Timothy Dwight Elementary School,Public,1600 Redding Road,Fairfield,06824,Fairfield,97.1,97.1,97.1,97.1,97.1,97.1,97.1,0.0,2.9,2.9
Lee Kellogg School,Public,47 Main Street,Falls Village,06031,Litchfield,,,,,,,,,,
East Farms Elementary,Public,25 Wolf Pit Road,Farmington,06032,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Noah Wallace School,Public,2 School Street,Farmington,06032,Hartford,98.5,98.5,98.5,98.5,98.5,98.5,98.5,0.0,0.0,0.0
Gales Ferry School,Public,1858 Rt 12,Gales Ferry,06335,New London,95.7,95.7,95.7,97.1,95.7,97.1,91.4,0.0,0.0,0.0
Buttonball Lane Elementary School.,Public,376 Buttonball Lane,Glastonbury,06033,Hartford,100.0,100.0,100.0,100.0,98.5,100.0,98.5,0.0,0.0,0.0
Eastbury Programs,Public,1389 Neipsic Road,Glastonbury,06033,Hartford,,,,,,,,,,
Glastonbury East Hartford Magnet School,Public,95 Oak Street,Glastonbury,06033,Hartford,98.5,96.9,98.5,98.5,98.5,96.9,96.9,0.0,1.5,1.5
Hebron Avenue Elementary School,Public,1363 Hebron Avenue,Glastonbury,06033,Hartford,98.4,100.0,98.4,100.0,98.4,100.0,96.7,0.0,0.0,0.0
Naubuc School,Public,84 Griswold St,Glastonbury,06033,Hartford,95.5,95.5,95.5,97.0,95.5,97.0,95.5,0.0,1.5,1.5
Goshen Center School,Public,50 North St.,Goshen,06756,Litchfield,,,,,,,,,,
Kelly Lane Primary School,Public,60 Kelly Lane,Granby,06035,Hartford,98.4,98.4,99.2,100.0,99.2,100.0,98.4,0.0,0.0,0.0
Cos Cob Elementary,Public,300 E Putnam Ave,Greenwich,06807,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Glenville School,Public,33 Riversville Rd,Greenwich,06831,Fairfield,98.8,98.8,100.0,98.8,98.8,95.1,95.1,0.0,0.0,0.0
Greenwich Academy,Non-public,200 North Maple Ave,Greenwich,06878,Fairfield,100.0,97.6,100.0,100.0,100.0,100.0,97.6,0.0,0.0,0.0
Greenwich Catholic School,Non-public,471 North Screet,Greenwich,06830,Fairfield,,,,,,,,,,
Greenwich Country Day School,Non-public,401 Old Church Road,Greenwich,06830,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Hamilton Avenue,Public,184 Hamilton Avenue,Greenwich,06830,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Julian curtiss school,Public,180 east elm street,Greenwich,06830,Fairfield,100.0,100.0,100.0,100.0,100.0,97.4,97.4,0.0,0.0,0.0
New Lebanon,Public,25 Mead Ave,Greenwich,06830,Fairfield,97.9,97.9,97.9,97.9,97.9,100.0,95.8,0.0,0.0,0.0
North Street School,Public,381 North Street,Greenwich,06830,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Parkway,Public,141 lower Cross Rd,Greenwich,06831,Fairfield,100.0,100.0,100.0,100.0,100.0,96.8,100.0,0.0,0.0,0.0
Riverside school,Public,90 Hendrie Ave,Greenwich,06878,Fairfield,98.9,98.9,98.9,98.9,98.9,98.9,98.9,0.0,1.1,1.1
Sacred Heart Greenwich,Non-public,1177King Street,Greenwich,06831,Fairfield,,,,,,,,,,
Whitby School,Non-public,969 Lake Avenue,Greenwich,06831,Fairfield,,,,,,,,,,
